Model,Training Time (sec),Accuracy,EER
Random Forest,37.49,1.0,0.0
Decision Tree,21.04,1.0,0.0
Logistic Regression,25.6,0.952,0.0713
LightGBM,2.93,1.0,0.0
MLP (Neural Network),24.54,1.0,0.0
SVM,309.88,0.9431,0.0516
Random Forest,2.72,1.0,0.0
Decision Tree,1.24,1.0,0.0
Logistic Regression,7.68,0.9756,0.0426
LightGBM,1.08,1.0,0.0
MLP (Neural Network),5.24,1.0,0.0
SVM,1.95,0.9141,0.031
Random Forest,6.07,1.0,0.0
Random Forest,6.1,1.0,0.0
Decision Tree,3.35,1.0,0.0
Logistic Regression,11.76,0.9602,0.0601
LightGBM,1.22,1.0,0.0
MLP (Neural Network),7.21,1.0,0.0
SVM,12.0,0.924,0.0388
Random Forest,5.91,1.0,0.0
Decision Tree,3.54,1.0,0.0
Logistic Regression,11.19,0.9602,0.0601
LightGBM,1.15,1.0,0.0
MLP (Neural Network),8.2,1.0,0.0
SVM,11.17,0.924,0.0388
Random Forest,5.91,1.0,0.0
Decision Tree,3.38,1.0,0.0
Logistic Regression,11.46,0.9602,0.0601
LightGBM,1.18,1.0,0.0
MLP (Neural Network),9.15,1.0,0.0
SVM,11.34,0.924,0.0388
Random Forest,5.93,1.0,0.0
Decision Tree,3.43,1.0,0.0
Logistic Regression,11.02,0.9602,0.0601
LightGBM,1.16,1.0,0.0
MLP (Neural Network),6.88,1.0,0.0
SVM,11.05,0.924,0.0388
Random Forest,5.68,1.0,0.0
Random Forest,5.67,1.0,0.0
Random Forest,5.7,1.0,0.0
Random Forest,5.78,1.0,0.0
Random Forest,5.91,1.0,0.0
Random Forest,5.8,1.0,0.0
Random Forest,5.6,1.0,0.0
Random Forest,5.64,1.0,0.0
Random Forest,5.58,1.0,0.0
Random Forest,5.71,1.0,0.0
Random Forest,5.58,1.0,0.0
Random Forest,5.79,1.0,0.0
Random Forest,6.01,1.0,0.0
Random Forest,1.11,1.0,0.0
Random Forest,1.13,1.0,0.0
Random Forest,1.17,1.0,0.0
Random Forest,1.09,1.0,0.0
Random Forest,1.17,1.0,0.0
Random Forest,1.12,1.0,0.0
Random Forest,1.15,1.0,0.0
Random Forest,1.11,1.0,0.0
Random Forest,1.06,1.0,0.0
Random Forest,1.06,1.0,0.0
Random Forest,1.12,1.0,0.0
Random Forest,1.13,1.0,0.0
Random Forest,1.1,1.0,0.0
Random Forest,1.12,1.0,0.0
Random Forest,1.08,1.0,0.0
Random Forest,1.15,1.0,0.0
Random Forest,1.05,1.0,0.0
Random Forest,1.18,1.0,0.0
Random Forest,1.1,1.0,0.0
Random Forest,1.05,1.0,0.0
Random Forest,1.03,1.0,0.0
Random Forest,1.1,1.0,0.0
Random Forest,1.12,1.0,0.0
Random Forest,1.11,1.0,0.0
Random Forest,1.06,1.0,0.0
Random Forest,1.09,1.0,0.0
Random Forest,1.11,1.0,0.0
Random Forest,1.07,1.0,0.0
Decision Tree,0.37,1.0,0.0
Decision Tree,0.39,1.0,0.0
Decision Tree,0.39,1.0,0.0
Decision Tree,0.37,1.0,0.0
Decision Tree,0.41,1.0,0.0
Decision Tree,0.41,1.0,0.0
Decision Tree,0.4,1.0,0.0
Decision Tree,0.4,1.0,0.0
Decision Tree,0.41,1.0,0.0
Decision Tree,0.38,1.0,0.0
Logistic Regression,6.47,0.9874,0.0155
Logistic Regression,6.41,0.9874,0.0155
Logistic Regression,5.13,0.9874,0.0155
Logistic Regression,6.45,0.9874,0.0155
Logistic Regression,6.58,0.9874,0.0155
Logistic Regression,6.32,0.9874,0.0155
Logistic Regression,6.25,0.9874,0.0155
Logistic Regression,4.98,0.9874,0.0155
Logistic Regression,5.23,0.9874,0.0155
Logistic Regression,6.26,0.9874,0.0155
LightGBM,0.85,1.0,0.0
LightGBM,0.92,1.0,0.0
LightGBM,0.8,1.0,0.0
LightGBM,0.87,1.0,0.0
LightGBM,0.83,1.0,0.0
LightGBM,0.82,1.0,0.0
LightGBM,0.86,1.0,0.0
LightGBM,0.82,1.0,0.0
LightGBM,0.83,1.0,0.0
LightGBM,0.93,1.0,0.0
MLP (Neural Network),1.54,1.0,0.0
MLP (Neural Network),0.96,1.0,0.0
MLP (Neural Network),1.43,1.0,0.0
MLP (Neural Network),1.17,1.0,0.0
MLP (Neural Network),2.78,1.0,0.0
MLP (Neural Network),1.05,1.0,0.0
MLP (Neural Network),2.9,1.0,0.0
MLP (Neural Network),1.42,1.0,0.0
MLP (Neural Network),1.6,1.0,0.0
MLP (Neural Network),1.75,1.0,0.0
SVM,0.51,0.9086,0.0155
SVM,0.55,0.9086,0.0155
SVM,0.47,0.9086,0.0155
SVM,0.47,0.9086,0.0155
SVM,0.58,0.9086,0.0155
SVM,0.5,0.9086,0.0155
SVM,0.51,0.9086,0.0155
SVM,0.53,0.9086,0.0155
SVM,0.5,0.9086,0.0155
SVM,0.49,0.9086,0.0155
